iter	Passed	Remaining
868	5789	872
869	5793	865
870	5797	858
871	5801	851
872	5805	844
873	5809	837
874	5815	830
875	5821	824
876	5826	817
877	5830	810
878	5835	803
879	5839	796
880	5843	789
881	5847	782
882	5852	775
883	5856	768
884	5860	761
885	5865	754
886	5869	747
887	5873	740
888	5878	733
889	5882	727
890	5888	720
891	5892	713
892	5896	706
893	5902	699
894	5906	692
895	5910	686
896	5917	679
897	5921	672
898	5925	665
899	5930	658
900	5934	652
901	5938	645
902	5944	638
903	5948	631
904	5953	624
905	5956	618
906	5959	611
907	5962	604
908	5965	597
909	5968	590
910	5971	583
911	5974	576
912	5977	569
913	5980	562
914	5983	555
915	5987	549
916	5991	542
917	5994	535
918	5997	528
919	6004	522
920	6009	515
921	6014	508
922	6019	502
923	6023	495
924	6028	488
925	6034	482
926	6039	475
927	6046	469
928	6050	462
929	6054	455
930	6060	449
931	6066	442
932	6070	435
933	6077	429
934	6081	422
935	6087	416
936	6093	409
937	6098	403
938	6104	396
939	6110	390
940	6116	383
941	6121	376
942	6127	370
943	6133	363
944	6137	357
945	6142	350
946	6148	344
947	6154	337
948	6160	331
949	6165	324
950	6170	317
951	6176	311
952	6181	304
953	6186	298
954	6192	291
955	6197	285
956	6202	278
957	6206	272
958	6212	265
959	6234	259
960	6240	253
961	6247	246
962	6254	240
963	6258	233
964	6263	227
965	6269	220
966	6273	214
967	6278	207
968	6290	201
969	6295	194
970	6303	188
971	6309	181
972	6314	175
973	6320	168
974	6326	162
975	6334	155
976	6344	149
977	6354	142
978	6360	136
979	6365	129
980	6372	123
981	6377	116
982	6382	110
983	6389	103
984	6394	97
985	6399	90
986	6405	84
987	6411	77
988	6416	71
989	6422	64
990	6426	58
991	6430	51
992	6436	45
993	6441	38
994	6445	32
995	6450	25
996	6455	19
997	6459	12
998	6464	6
999	6468	0
